dataset,seed,instance_id,tw_proxy,backend,runtime_s,model_count,semantic_pass
mnist_sum_k_v1,3,mnist_sum_k_v1_3_000,45,enum_frumpy,0.0689420000417158,8,1
mnist_sum_k_v1,3,mnist_sum_k_v1_3_000,45,enum_rewrite_frumpy,0.05903145798947662,8,1
mnist_sum_k_v1,3,mnist_sum_k_v1_3_000,45,comp_trendy_proxy,0.04959812492597848,8,1
mnist_sum_k_v1,3,mnist_sum_k_v1_3_001,32,enum_frumpy,0.049421707983128726,17,1
mnist_sum_k_v1,3,mnist_sum_k_v1_3_001,32,enum_rewrite_frumpy,0.05214475002139807,17,1
mnist_sum_k_v1,3,mnist_sum_k_v1_3_001,32,comp_trendy_proxy,0.05010258289985359,17,1
mnist_sum_k_v1,3,mnist_sum_k_v1_3_002,49,enum_frumpy,0.051196041982620955,14,1
mnist_sum_k_v1,3,mnist_sum_k_v1_3_002,49,enum_rewrite_frumpy,0.04958191700279713,14,1
mnist_sum_k_v1,3,mnist_sum_k_v1_3_002,49,comp_trendy_proxy,0.06346279103308916,14,1
mnist_sum_k_v1,5,mnist_sum_k_v1_5_000,23,enum_frumpy,0.04979937488678843,16,1
mnist_sum_k_v1,5,mnist_sum_k_v1_5_000,23,enum_rewrite_frumpy,0.04955920891370624,16,1
mnist_sum_k_v1,5,mnist_sum_k_v1_5_000,23,comp_trendy_proxy,0.04996412503533065,16,1
mnist_sum_k_v1,5,mnist_sum_k_v1_5_001,42,enum_frumpy,0.05074029101524502,12,1
mnist_sum_k_v1,5,mnist_sum_k_v1_5_001,42,enum_rewrite_frumpy,0.04957529192324728,12,1
mnist_sum_k_v1,5,mnist_sum_k_v1_5_001,42,comp_trendy_proxy,0.08673404203727841,12,1
mnist_sum_k_v1,5,mnist_sum_k_v1_5_002,11,enum_frumpy,0.05532404198311269,10,1
mnist_sum_k_v1,5,mnist_sum_k_v1_5_002,11,enum_rewrite_frumpy,0.05035066697746515,10,1
mnist_sum_k_v1,5,mnist_sum_k_v1_5_002,11,comp_trendy_proxy,0.05007687502074987,10,1
mnist_sum_k_v1,7,mnist_sum_k_v1_7_000,18,enum_frumpy,0.05426441703457385,7,1
mnist_sum_k_v1,7,mnist_sum_k_v1_7_000,18,enum_rewrite_frumpy,0.05270050000399351,7,1
mnist_sum_k_v1,7,mnist_sum_k_v1_7_000,18,comp_trendy_proxy,0.04952995898202062,7,1
mnist_sum_k_v1,7,mnist_sum_k_v1_7_001,47,enum_frumpy,0.05121833295561373,14,1
mnist_sum_k_v1,7,mnist_sum_k_v1_7_001,47,enum_rewrite_frumpy,0.04987104097381234,14,1
mnist_sum_k_v1,7,mnist_sum_k_v1_7_001,47,comp_trendy_proxy,0.057260666973888874,14,1
mnist_sum_k_v1,7,mnist_sum_k_v1_7_002,21,enum_frumpy,0.05073583300691098,16,1
mnist_sum_k_v1,7,mnist_sum_k_v1_7_002,21,enum_rewrite_frumpy,0.04996937501709908,16,1
mnist_sum_k_v1,7,mnist_sum_k_v1_7_002,21,comp_trendy_proxy,0.05002629105001688,16,1
mnist_sum_k_v1,9,mnist_sum_k_v1_9_000,31,enum_frumpy,0.0619703329866752,12,1
mnist_sum_k_v1,9,mnist_sum_k_v1_9_000,31,enum_rewrite_frumpy,0.04995424998924136,12,1
mnist_sum_k_v1,9,mnist_sum_k_v1_9_000,31,comp_trendy_proxy,0.049921083031222224,12,1
mnist_sum_k_v1,9,mnist_sum_k_v1_9_001,13,enum_frumpy,0.05420716607477516,17,1
mnist_sum_k_v1,9,mnist_sum_k_v1_9_001,13,enum_rewrite_frumpy,0.049011124996468425,17,1
mnist_sum_k_v1,9,mnist_sum_k_v1_9_001,13,comp_trendy_proxy,0.05046245804987848,17,1
mnist_sum_k_v1,9,mnist_sum_k_v1_9_002,33,enum_frumpy,0.056297749979421496,13,1
mnist_sum_k_v1,9,mnist_sum_k_v1_9_002,33,enum_rewrite_frumpy,0.04940233298111707,13,1
mnist_sum_k_v1,9,mnist_sum_k_v1_9_002,33,comp_trendy_proxy,0.059927791939117014,13,1
mnist_sum_k_v1,11,mnist_sum_k_v1_11_000,28,enum_frumpy,0.053685500053688884,15,1
mnist_sum_k_v1,11,mnist_sum_k_v1_11_000,28,enum_rewrite_frumpy,0.05032016593031585,15,1
mnist_sum_k_v1,11,mnist_sum_k_v1_11_000,28,comp_trendy_proxy,0.05137500003911555,15,1
mnist_sum_k_v1,11,mnist_sum_k_v1_11_001,50,enum_frumpy,0.05474120890721679,10,1
mnist_sum_k_v1,11,mnist_sum_k_v1_11_001,50,enum_rewrite_frumpy,0.049193041981197894,10,1
mnist_sum_k_v1,11,mnist_sum_k_v1_11_001,50,comp_trendy_proxy,0.051126666949130595,10,1
mnist_sum_k_v1,11,mnist_sum_k_v1_11_002,34,enum_frumpy,0.05012233299203217,10,1
mnist_sum_k_v1,11,mnist_sum_k_v1_11_002,34,enum_rewrite_frumpy,0.0528623330174014,10,1
mnist_sum_k_v1,11,mnist_sum_k_v1_11_002,34,comp_trendy_proxy,0.050018041976727545,10,1
sudoku_4x4_v1,3,sudoku_4x4_v1_3_000,5,enum_frumpy,0.05063408298883587,18,1
sudoku_4x4_v1,3,sudoku_4x4_v1_3_000,5,enum_rewrite_frumpy,0.04972641705535352,18,1
sudoku_4x4_v1,3,sudoku_4x4_v1_3_000,5,comp_trendy_proxy,0.05012220796197653,18,1
sudoku_4x4_v1,3,sudoku_4x4_v1_3_001,20,enum_frumpy,0.049192374921403825,12,1
sudoku_4x4_v1,3,sudoku_4x4_v1_3_001,20,enum_rewrite_frumpy,0.055112209054641426,12,1
sudoku_4x4_v1,3,sudoku_4x4_v1_3_001,20,comp_trendy_proxy,0.04892137506976724,12,1
sudoku_4x4_v1,3,sudoku_4x4_v1_3_002,26,enum_frumpy,0.04967216693330556,13,1
sudoku_4x4_v1,3,sudoku_4x4_v1_3_002,26,enum_rewrite_frumpy,0.04935029207263142,13,1
sudoku_4x4_v1,3,sudoku_4x4_v1_3_002,26,comp_trendy_proxy,0.050415041972883046,13,1
sudoku_4x4_v1,5,sudoku_4x4_v1_5_000,48,enum_frumpy,0.051814042031764984,14,1
sudoku_4x4_v1,5,sudoku_4x4_v1_5_000,48,enum_rewrite_frumpy,0.05046391603536904,14,1
sudoku_4x4_v1,5,sudoku_4x4_v1_5_000,48,comp_trendy_proxy,0.04979950003325939,14,1
sudoku_4x4_v1,5,sudoku_4x4_v1_5_001,15,enum_frumpy,0.049475249950774014,10,1
sudoku_4x4_v1,5,sudoku_4x4_v1_5_001,15,enum_rewrite_frumpy,0.05155920807737857,10,1
sudoku_4x4_v1,5,sudoku_4x4_v1_5_001,15,comp_trendy_proxy,0.05722825007978827,10,1
sudoku_4x4_v1,5,sudoku_4x4_v1_5_002,27,enum_frumpy,0.05204679199960083,8,1
sudoku_4x4_v1,5,sudoku_4x4_v1_5_002,27,enum_rewrite_frumpy,0.04891279200091958,8,1
sudoku_4x4_v1,5,sudoku_4x4_v1_5_002,27,comp_trendy_proxy,0.06842070794664323,8,1
sudoku_4x4_v1,7,sudoku_4x4_v1_7_000,13,enum_frumpy,0.04928620799910277,12,1
sudoku_4x4_v1,7,sudoku_4x4_v1_7_000,13,enum_rewrite_frumpy,0.0784574159188196,12,1
