dataset,seed,instance_id,tw_proxy,backend,runtime_s,model_count,semantic_pass
mnist_sum_k_v1,3,mnist_sum_k_v1_3_000,45,enum_frumpy,0.0578769170679152,8,1
mnist_sum_k_v1,3,mnist_sum_k_v1_3_000,45,enum_rewrite_frumpy,0.05166200001258403,8,1
mnist_sum_k_v1,3,mnist_sum_k_v1_3_000,45,comp_trendy_proxy,0.05147549998946488,8,1
mnist_sum_k_v1,3,mnist_sum_k_v1_3_001,32,enum_frumpy,0.053136999951675534,17,1
mnist_sum_k_v1,3,mnist_sum_k_v1_3_001,32,enum_rewrite_frumpy,0.04937370796687901,17,1
mnist_sum_k_v1,3,mnist_sum_k_v1_3_001,32,comp_trendy_proxy,0.05614533298648894,17,1
mnist_sum_k_v1,3,mnist_sum_k_v1_3_002,49,enum_frumpy,0.05294412502553314,14,1
mnist_sum_k_v1,3,mnist_sum_k_v1_3_002,49,enum_rewrite_frumpy,0.05476933403406292,14,1
mnist_sum_k_v1,3,mnist_sum_k_v1_3_002,49,comp_trendy_proxy,0.04927408404182643,14,1
mnist_sum_k_v1,5,mnist_sum_k_v1_5_000,23,enum_frumpy,0.06829104200005531,16,1
mnist_sum_k_v1,5,mnist_sum_k_v1_5_000,23,enum_rewrite_frumpy,0.054072874947451055,16,1
mnist_sum_k_v1,5,mnist_sum_k_v1_5_000,23,comp_trendy_proxy,0.05509366700425744,16,1
mnist_sum_k_v1,5,mnist_sum_k_v1_5_001,42,enum_frumpy,0.09667204204015434,12,1
mnist_sum_k_v1,5,mnist_sum_k_v1_5_001,42,enum_rewrite_frumpy,0.06724524998571724,12,1
mnist_sum_k_v1,5,mnist_sum_k_v1_5_001,42,comp_trendy_proxy,0.058745792019180954,12,1
mnist_sum_k_v1,5,mnist_sum_k_v1_5_002,11,enum_frumpy,0.05465283303055912,10,1
mnist_sum_k_v1,5,mnist_sum_k_v1_5_002,11,enum_rewrite_frumpy,0.05440916703082621,10,1
mnist_sum_k_v1,5,mnist_sum_k_v1_5_002,11,comp_trendy_proxy,0.061043708003126085,10,1
mnist_sum_k_v1,7,mnist_sum_k_v1_7_000,18,enum_frumpy,0.054333082982338965,7,1
mnist_sum_k_v1,7,mnist_sum_k_v1_7_000,18,enum_rewrite_frumpy,0.056753457989543676,7,1
mnist_sum_k_v1,7,mnist_sum_k_v1_7_000,18,comp_trendy_proxy,0.06594045809470117,7,1
mnist_sum_k_v1,7,mnist_sum_k_v1_7_001,47,enum_frumpy,0.05883987492416054,14,1
mnist_sum_k_v1,7,mnist_sum_k_v1_7_001,47,enum_rewrite_frumpy,0.05281504197046161,14,1
mnist_sum_k_v1,7,mnist_sum_k_v1_7_001,47,comp_trendy_proxy,0.05986912490334362,14,1
mnist_sum_k_v1,7,mnist_sum_k_v1_7_002,21,enum_frumpy,0.051301791914738715,16,1
mnist_sum_k_v1,7,mnist_sum_k_v1_7_002,21,enum_rewrite_frumpy,0.055829749908298254,16,1
mnist_sum_k_v1,7,mnist_sum_k_v1_7_002,21,comp_trendy_proxy,0.05910933297127485,16,1
mnist_sum_k_v1,9,mnist_sum_k_v1_9_000,31,enum_frumpy,0.05108379200100899,12,1
mnist_sum_k_v1,9,mnist_sum_k_v1_9_000,31,enum_rewrite_frumpy,0.06244579202029854,12,1
mnist_sum_k_v1,9,mnist_sum_k_v1_9_000,31,comp_trendy_proxy,0.05890925007406622,12,1
mnist_sum_k_v1,9,mnist_sum_k_v1_9_001,13,enum_frumpy,0.06147524993866682,17,1
mnist_sum_k_v1,9,mnist_sum_k_v1_9_001,13,enum_rewrite_frumpy,0.06077370804268867,17,1
mnist_sum_k_v1,9,mnist_sum_k_v1_9_001,13,comp_trendy_proxy,0.054466750007122755,17,1
mnist_sum_k_v1,9,mnist_sum_k_v1_9_002,33,enum_frumpy,0.05211958405561745,13,1
mnist_sum_k_v1,9,mnist_sum_k_v1_9_002,33,enum_rewrite_frumpy,0.09229791606776416,13,1
mnist_sum_k_v1,9,mnist_sum_k_v1_9_002,33,comp_trendy_proxy,0.08137537492439151,13,1
mnist_sum_k_v1,11,mnist_sum_k_v1_11_000,28,enum_frumpy,0.06632820796221495,15,1
mnist_sum_k_v1,11,mnist_sum_k_v1_11_000,28,enum_rewrite_frumpy,0.08432208292651922,15,1
mnist_sum_k_v1,11,mnist_sum_k_v1_11_000,28,comp_trendy_proxy,0.045100416988134384,15,1
mnist_sum_k_v1,11,mnist_sum_k_v1_11_001,50,enum_frumpy,0.058086790959350765,10,1
mnist_sum_k_v1,11,mnist_sum_k_v1_11_001,50,enum_rewrite_frumpy,0.051751499995589256,10,1
mnist_sum_k_v1,11,mnist_sum_k_v1_11_001,50,comp_trendy_proxy,0.055538499960675836,10,1
mnist_sum_k_v1,11,mnist_sum_k_v1_11_002,34,enum_frumpy,0.051607416942715645,10,1
mnist_sum_k_v1,11,mnist_sum_k_v1_11_002,34,enum_rewrite_frumpy,0.08973758306819946,10,1
mnist_sum_k_v1,11,mnist_sum_k_v1_11_002,34,comp_trendy_proxy,0.060412124963477254,10,1
sudoku_4x4_v1,3,sudoku_4x4_v1_3_000,5,enum_frumpy,0.04732949996832758,18,1
sudoku_4x4_v1,3,sudoku_4x4_v1_3_000,5,enum_rewrite_frumpy,0.05133441695943475,18,1
sudoku_4x4_v1,3,sudoku_4x4_v1_3_000,5,comp_trendy_proxy,0.10459274996537715,18,1
sudoku_4x4_v1,3,sudoku_4x4_v1_3_001,20,enum_frumpy,0.05165133404079825,12,1
sudoku_4x4_v1,3,sudoku_4x4_v1_3_001,20,enum_rewrite_frumpy,0.07900904200505465,12,1
sudoku_4x4_v1,3,sudoku_4x4_v1_3_001,20,comp_trendy_proxy,0.052474708994850516,12,1
sudoku_4x4_v1,3,sudoku_4x4_v1_3_002,26,enum_frumpy,0.052774916985072196,13,1
sudoku_4x4_v1,3,sudoku_4x4_v1_3_002,26,enum_rewrite_frumpy,0.055194583954289556,13,1
