strategy,cache_hit_rate,false_hit_count,counterexample_detection_rate,runtime_overhead_ms
normalized_ast_plus_guard_signature,0.6502702702702702,0,0.0,18.4
normalized_ast_hash,0.5702702702702702,0,0.0,20.0
raw_text_hash,0.42027027027027025,279,0.03968705547652916,23.0
