feature_set,fallback_policy,uncertainty_tau,mean_regret_s,p95_tail_runtime_s,violation_rate,fallback_activation_rate
tw_only,none,0.05,0.061862903225806974,1.7490882098111282,0.2019914651493599,0.0
tw_only,none,0.1,0.061862903225806974,1.7490882098111282,0.2019914651493599,0.0
tw_only,none,0.2,0.061862903225806974,1.7490882098111282,0.2019914651493599,0.0
tw_only,uncertainty_gate,0.05,0.5551664457404443,2.7645499999999994,0.9378378378378378,0.735846372688478
tw_only,uncertainty_plus_tail_guard,0.05,0.5613033786114259,2.782,0.9431009957325747,0.7411095305832148
tw_plus_scc,none,0.05,0.5616714900308141,2.7830000000000004,0.4640113798008535,0.0
tw_plus_scc,none,0.1,0.5616714900308141,2.7830000000000004,0.4640113798008535,0.0
tw_plus_scc,none,0.2,0.5616714900308141,2.7830000000000004,0.4640113798008535,0.0
tw_plus_scc,uncertainty_gate,0.05,0.5616714900308141,2.7830000000000004,0.4640113798008535,0.0
tw_plus_scc,uncertainty_gate,0.1,0.5616714900308141,2.7830000000000004,0.4640113798008535,0.0
tw_plus_scc,uncertainty_gate,0.2,0.5616714900308141,2.7830000000000004,0.4640113798008535,0.0
tw_plus_scc,uncertainty_plus_tail_guard,0.05,0.5616714900308141,2.7830000000000004,0.4640113798008535,0.0
tw_plus_scc,uncertainty_plus_tail_guard,0.1,0.5616714900308141,2.7830000000000004,0.4640113798008535,0.0
tw_plus_scc,uncertainty_plus_tail_guard,0.2,0.5616714900308141,2.7830000000000004,0.4640113798008535,0.0
tw_plus_scc_plus_reuse,none,0.05,0.5616714900308141,2.7830000000000004,0.5110953058321479,0.0
tw_plus_scc_plus_reuse,none,0.1,0.5616714900308141,2.7830000000000004,0.5110953058321479,0.0
tw_plus_scc_plus_reuse,none,0.2,0.5616714900308141,2.7830000000000004,0.5110953058321479,0.0
tw_plus_scc_plus_reuse,uncertainty_gate,0.05,0.5616714900308141,2.7830000000000004,0.5110953058321479,0.0
tw_plus_scc_plus_reuse,uncertainty_gate,0.1,0.5616714900308141,2.7830000000000004,0.5110953058321479,0.0
tw_plus_scc_plus_reuse,uncertainty_gate,0.2,0.5616714900308141,2.7830000000000004,0.5110953058321479,0.0
tw_plus_scc_plus_reuse,uncertainty_plus_tail_guard,0.05,0.5616714900308141,2.7830000000000004,0.5110953058321479,0.0
tw_plus_scc_plus_reuse,uncertainty_plus_tail_guard,0.1,0.5616714900308141,2.7830000000000004,0.5110953058321479,0.0
tw_plus_scc_plus_reuse,uncertainty_plus_tail_guard,0.2,0.5616714900308141,2.7830000000000004,0.5110953058321479,0.0
full,none,0.05,0.5616714900308141,2.7830000000000004,0.5477951635846373,0.0
full,none,0.1,0.5616714900308141,2.7830000000000004,0.5477951635846373,0.0
full,none,0.2,0.5616714900308141,2.7830000000000004,0.5477951635846373,0.0
full,uncertainty_gate,0.05,0.5616714900308141,2.7830000000000004,0.5477951635846373,0.0
full,uncertainty_gate,0.1,0.5616714900308141,2.7830000000000004,0.5477951635846373,0.0
full,uncertainty_gate,0.2,0.5616714900308141,2.7830000000000004,0.5477951635846373,0.0
full,uncertainty_plus_tail_guard,0.05,0.5616714900308141,2.7830000000000004,0.5477951635846373,0.0
full,uncertainty_plus_tail_guard,0.1,0.5616714900308141,2.7830000000000004,0.5477951635846373,0.0
full,uncertainty_plus_tail_guard,0.2,0.5616714900308141,2.7830000000000004,0.5477951635846373,0.0
tw_only,uncertainty_gate,0.1,0.5616714900308141,2.7830000000000004,0.9433854907539118,0.7413940256045519
tw_only,uncertainty_gate,0.2,0.5616714900308141,2.7830000000000004,0.9433854907539118,0.7413940256045519
tw_only,uncertainty_plus_tail_guard,0.1,0.5616714900308141,2.7830000000000004,0.9433854907539118,0.7413940256045519
tw_only,uncertainty_plus_tail_guard,0.2,0.5616714900308141,2.7830000000000004,0.9433854907539118,0.7413940256045519
